id,latitude,longitude,elevation,prominence
454582,49.1497,87.8258,4343.37,2308.15
456754,39.0403,91.5278,4335.62,758.71
457253,-6.0436,143.8867,4333.84,2470.06
458013,41.5703,73.6225,4331.04,1351.98
458068,39.0864,91.8103,4330.83,654.51
458128,38.8314,91.9078,4330.62,1118.94
458883,-82.8442,161.3278,4328.09,2115.94
461611,-7.4264,-78.6731,4318.12,1181.64
461758,1.1183,34.5269,4317.62,2456.07
461961,38.004,-107.7924,4316.88,929.64
462062,41.409,-122.1949,4316.58,2977.29
463345,43.3817,93.3558,4312.23,2097.5
464163,39.1503,-107.0829,4309.26,538.28
465602,27.5506,102.3561,4303.85,1769.11
465897,38.8407,-105.0444,4302.86,1686.15
467617,37.6218,-107.6227,4296.77,662.94
471117,37.1223,-105.1857,4283.96,1468.22
474470,37.9869,-106.9313,4271.77,944.58
475492,-77.0403,-126.0958,4268.02,2501.24
476835,10.9508,39.1047,4263.23,2052.82
477483,-6.9431,-78.4125,4260.97,1035.37
478479,26.1486,102.9128,4257.29,2398.52
480580,27.3344,101.5447,4249.61,1219.9
481557,35.3269,66.7597,4246.03,902.09
481638,12.1414,39.1836,4245.73,1900.27
481965,19.5628,-103.6083,4244.59,2685.41
482481,3.9358,-74.1106,4242.63,1524.89
484883,-84.5539,175.3472,4233.71,1786.26
487757,30.07,57.4656,4223.33,1962.44
490390,32.8272,66.9436,4213.85,1111.17
490622,43.1843,-109.6543,4212.95,2161.03
490857,15.0433,-91.9036,4212.15,3976.07
492366,46.6175,93.5945,4206.65,1830.05
492808,19.8207,-155.468,4205.02,4205.02
493012,7.9094,39.3931,4204.34,1628.43
493317,48.6817,90.7253,4203.12,1767.6
494177,43.7413,-110.8024,4199.84,1994.61
495694,1.5656,-76.8589,4194.38,1247.63
495992,46.8903,91.4736,4193.33,1754.59
497303,7.3642,39.1581,4188.32,1217.06
497819,63.62,-146.7167,4186.4,3473.49
498363,32.3644,50.0775,4184.38,2079.98
501317,19.4739,-155.6059,4173.63,2163.47
503018,-17.6661,-64.8422,4167.14,1296.07
505442,31.06,-7.915,4158.45,3749.84
506170,50.0631,87.5683,4155.6,1782.55
506752,-71.7867,168.7508,4153.54,2638.93
507925,33.1078,64.2008,4149.29,1457.58
509603,3.74,-74.3994,4143.19,374.98
510521,-83.3428,165.7972,4139.77,2280.64
512321,-3.1094,-78.68,4133.12,1371.86
512882,41.9594,46.9217,4131.0,1838.0
513142,42.3392,46.2495,4130.05,1779.34
515033,40.7763,-110.3729,4123.33,1975.1
517167,26.1894,98.7436,4115.52,774.21
517229,11.7061,38.2372,4115.3,1491.43
517352,-85.0678,-171.2139,4114.94,1535.46
518824,-5.9539,146.375,4109.57,3668.67
519268,-6.3739,-79.2372,4107.96,1806.54
519397,-6.3108,147.09,4107.42,1696.88
524919,25.6717,100.0922,4087.01,1468.29
525099,-80.3667,77.3542,4086.32,1344.14
525854,10.7142,37.8497,4083.44,2209.69
528833,41.4258,70.5697,4072.46,1234.03
529125,33.3403,49.3044,4071.34,1918.82
530118,27.8942,103.2369,4067.58,1928.14
530621,31.5089,-6.4442,4065.79,1902.57
531278,37.4858,44.0042,4063.59,2115.59
531725,33.0586,49.4867,4062.07,1426.4
532994,6.075,116.5583,4057.26,4057.26
533183,49.57,91.3858,4056.59,1824.52
533361,37.3506,-106.6969,4055.97,835.76
536080,31.6058,54.0681,4046.26,2268.91
536435,38.9264,42.8275,4045.01,2177.99
538623,-84.8519,-174.3153,4037.15,956.14
539150,27.2133,103.0778,4035.23,1980.97
540752,4.2181,9.1733,4029.2,3903.81
541580,37.4832,-106.4341,4026.41,535.23
542099,-8.8928,147.5331,4024.35,2761.39
542586,-46.5958,-73.3444,4022.63,3661.46
543011,44.9225,6.3581,4021.1,1963.2
543071,42.7083,-109.1281,4020.92,778.76
543585,32.8031,49.9828,4018.97,1408.89
543767,45.3053,81.5917,4018.32,943.42
543804,44.3821,-107.1738,4018.18,2176.27
544419,36.5569,-105.417,4016.04,1043.03
546328,43.9613,-109.3394,4009.03,1237.49
546482,37.6891,-119.1995,4008.42,1217.68
546806,47.6089,97.5525,4007.42,2258.45
548506,-78.0603,162.6883,4001.3,2169.83
549203,-6.0233,-77.5981,3998.65,1769.38
549561,4.4647,-73.7594,3997.3,1069.73
550593,35.9625,-105.6451,3993.49,1218.29
552794,61.4375,-147.7517,3985.53,3253.53
553148,49.8003,89.7533,3984.25,1530.59
553157,46.97,92.7253,3984.22,1537.78
553467,31.8903,50.3792,3983.1,1553.68
553864,38.9858,-114.3139,3981.6,2305.51
554353,37.8998,-119.2212,3979.77,741.88
554737,46.3817,9.9078,3978.42,2163.52
554941,-8.4122,147.403,3977.68,1004.4
557015,14.5017,-90.8756,3969.9,1847.92
557351,-5.5303,-79.2456,3968.65,1579.47
557431,47.9597,90.9458,3968.35,1368.21
557508,50.2797,90.12,3968.02,1683.63
560551,-4.7792,-79.4406,3956.72,1286.44
561743,44.9947,100.2308,3952.39,1974.46
563436,12.8586,39.4978,3946.08,1547.08
563950,6.4569,-76.1222,3944.16,2175.95
564916,51.3756,-125.2667,3940.63,3226.2
565448,30.7772,52.7505,3938.56,1559.31
565717,48.6478,89.1561,3937.6,1348.75
565987,23.47,120.9572,3936.62,3936.62
568530,28.6078,61.1247,3926.78,2890.06
568852,-5.0561,-79.4825,3925.5,626.05
570059,40.8356,41.1614,3921.08,2268.07
571524,53.1108,-119.1569,3915.64,3195.2
572826,48.3383,88.6042,3910.55,1416.15
574825,39.1592,46.0036,3903.0,1818.0
575304,45.1635,-109.8076,3901.14,1449.63
577351,32.9633,50.5122,3893.55,1489.21
577776,47.8803,90.1658,3891.97,1163.61
578073,38.5317,35.4469,3890.73,2393.95
578148,36.5803,54.7647,3890.48,1881.61
579528,-85.7089,-128.5778,3885.18,1456.33
580862,24.3833,121.2319,3880.15,1925.46
581012,38.4384,-109.2293,3879.49,1883.36
581919,2.3797,-77.4325,3875.96,1850.63
582316,33.4556,51.8,3874.38,1699.94
582382,46.5083,10.5444,3874.05,1919.44
583212,33.5347,64.8869,3870.88,1082.64
586258,44.1374,-113.7811,3859.38,1823.31
586503,47.3572,90.4989,3858.37,1115.67
586590,-86.2908,-158.6361,3857.97,1459.84
587339,31.6756,51.0286,3855.07,1595.06
588505,35.3464,-111.678,3850.54,1839.47
590102,19.4167,-102.3197,3844.4,1673.41
592906,25.74,95.037,3833.69,2883.6
593163,47.0489,85.5664,3832.71,3240.49
593187,33.6703,63.4972,3832.6,1252.65
593263,-5.5078,143.0481,3832.27,1117.6
598263,9.4842,-83.4886,3812.35,3760.58
598350,-35.5806,-68.49,3812.05,2284.47
601271,44.7986,95.2403,3800.66,2131.37
602304,5.2169,-74.0297,3796.62,936.49
604284,47.6878,92.5633,3788.93,2343.19
604427,-77.5297,167.1667,3788.36,3763.58
607649,-1.6975,101.2644,3775.39,3775.39
609039,45.3519,97.412,3770.01,1315.89
609283,-4.2489,-79.1075,3768.96,997.33
609439,35.3606,138.7272,3768.41,3768.41
611240,33.955,107.765,3761.37,2249.72
612004,28.5669,58.2289,3758.59,1453.93
