latitude,longitude,elevation,isolation,summit_name,wikipedia
27.3225,17.2133,1079.91,328004.0,,
-19.6042,144.055,1072.9,241983.0,,
0.9558,13.6858,1069.85,362582.0,Mont Bengoué,
-19.2017,-57.5933,1064.97,202340.0,Maciço do Urucum,
18.7925,-110.9733,1050.04,490962.0,Mount Evermann,
-17.2367,-51.7767,1047.9,212344.0,,
27.6583,75.3925,1040.89,321121.0,,
51.9992,-9.7425,1039.06,402279.0,Carrauntoohil,ga:Corrán Tuathail
-1.6167,11.765,1031.75,353672.0,,
59.1925,-115.5917,1006.14,275619.0,,
7.3292,0.7092,989.99,878695.0,,
3.9758,108.3358,983.89,283224.0,,
-17.4358,127.2367,982.07,740730.0,Mount Wells,
3.715,13.745,977.8,187499.0,,
-79.59,-45.815,975.06,268001.0,,
55.9817,100.9783,973.84,189199.0,,
18.7675,145.6675,969.87,1897632.0,,
79.5892,99.15,965.0,450493.0,,
-24.3567,150.9392,960.12,278770.0,,
31.9758,13.32,959.82,387564.0,,
20.895,3.7633,955.85,178910.0,,
66.7317,109.3892,944.88,331767.0,,
-15.8717,-57.2175,940.92,221696.0,,
-17.3217,125.5608,938.78,177399.0,Mount Ord,
18.3367,32.7408,935.74,271345.0,,
52.8933,172.98,934.82,325230.0,Attu Mountain,en:Attu Island
20.025,2.4308,926.9,169228.0,,
-3.3258,11.1933,924.76,179339.0,,
-11.6533,166.8742,922.93,253841.0,,
53.8708,-66.0567,917.75,195409.0,,
53.08,70.1883,915.92,449040.0,гора Кокшетау (Синюха),
22.6508,-12.5742,915.01,648728.0,Kediet ej Jill,
-24.9933,120.49,914.1,212458.0,Mount Essendon,
58.4225,104.835,911.96,248537.0,,
-40.3092,-9.9467,910.13,406452.0,Edinburgh Peak,
69.965,109.6158,908.0,337834.0,,
-4.645,55.4392,904.95,1107811.0,Morne Seychellois,en:Morne Seychellois
63.1267,97.79,904.95,208653.0,,
7.1,5.0825,900.99,320416.0,Idanre Hill,
-6.4033,-50.3325,899.77,641825.0,,
55.3333,-67.7033,889.71,193261.0,,
63.7225,104.5442,887.88,184703.0,,
62.2967,-7.0133,882.09,446574.0,Slættaratindur,
-37.8492,77.5483,880.87,1408889.0,Mont de la Dives,
-4.4142,12.7642,879.96,209841.0,,
53.9158,-62.0017,879.96,201087.0,,
32.6392,21.84,878.74,337637.0,,
-31.58,159.0825,875.08,602221.0,,
6.1683,26.5892,872.95,185232.0,,
8.6342,20.0825,871.73,236338.0,,
-2.4192,14.3758,871.73,196809.0,,
69.2425,-121.54,869.9,484568.0,,
50.2258,126.5092,866.85,173583.0,,
-0.7342,-73.0875,860.15,271069.0,,
-7.9517,-14.3425,858.93,1798164.0,Green Mountain,en:Green Mountain
3.5775,-53.5192,851.0,277721.0,,
11.6933,6.7792,844.91,189895.0,,
-1.0358,-53.9017,842.77,451327.0,,
57.6683,-105.275,841.86,394220.0,,
-25.9017,-56.16,841.86,258919.0,Cerro Tres Kandú,en:Cerro Peró
61.9858,-119.8325,839.72,181569.0,,
35.1675,-93.645,839.11,601471.0,Magazine Mountain,en:Mount Magazine
24.2342,141.4633,834.85,647005.0,,
51.47,-100.7208,831.8,356193.0,Baldy Mountain,
49.77,-102.5967,830.88,187522.0,,
53.15,-107.4742,830.58,219049.0,,
53.4142,-102.3058,828.14,241661.0,,
17.96,27.225,824.79,192504.0,,
18.94,1.0283,824.79,165526.0,,
-13.7742,143.3217,823.87,301356.0,,
-15.9617,-5.7033,822.96,1291849.0,,
48.8333,-58.4842,811.99,447140.0,The Cabox,en:The Cabox
-10.3867,165.8042,796.75,182490.0,Tinakula,
20.5708,-12.8092,794.92,229857.0,,
6.8733,158.2283,790.96,1317638.0,Nanalaud,
-54.405,3.3475,779.98,1851159.0,Olav Peak,en:Olavtoppen
16.355,145.6567,777.85,266367.0,,
-35.525,173.5108,773.89,201163.0,Te Raupua,
-72.1742,-99.2983,764.74,207895.0,,
-8.4633,-55.6025,763.83,452146.0,,
58.5433,100.1292,763.83,201904.0,,
28.6675,11.6567,762.91,210884.0,,
75.3692,-115.0825,762.0,652059.0,,
54.7492,-104.3392,762.0,192421.0,,
