id,latitude,longitude,elevation,MHD
882.0,-15.9617,-5.7033,822.96,110608.0
883.0,-11.6458,166.8864,821.97,110541.4
884.0,-13.7733,143.3217,816.39,110165.6
885.0,-14.6125,-58.7797,813.05,109940.0
886.0,-15.9725,-5.7003,812.49,109902.1
887.0,48.8333,-58.4842,811.99,109868.3
888.0,60.1017,95.7228,811.72,109850.1
889.0,-10.3861,165.8042,809.62,109707.9
890.0,48.8328,-58.4844,809.11,109673.3
891.0,20.5711,-12.8089,802.89,109250.9
892.0,49.5942,-57.7842,802.45,109221.0
893.0,12.2339,-8.7553,798.25,108934.8
894.0,-10.3867,165.8042,796.75,108832.4
895.0,20.5708,-12.8092,794.92,108707.3
896.0,6.8733,158.2283,790.96,108436.2
897.0,41.3195,-76.5546,787.91,108227.0
898.0,41.9056,-77.7028,787.3,108185.1
899.0,16.355,145.6564,786.61,108137.6
900.0,-35.5253,173.5108,784.52,107993.9
901.0,80.5806,94.8931,783.48,107922.3
902.0,-8.7011,-50.8103,782.72,107869.9
903.0,6.8636,158.2358,780.22,107697.5
904.0,-54.405,3.3475,779.98,107681.0
905.0,-9.7367,-46.6128,778.07,107549.0
906.0,16.355,145.6567,777.85,107533.8
907.0,-35.525,173.5108,773.89,107259.8
908.0,58.5431,100.13,772.9,107191.1
909.0,-22.7767,-56.1994,765.67,106688.6
910.0,75.4089,-114.6492,765.66,106687.9
911.0,-72.1742,-99.2983,764.74,106623.8
912.0,-8.4633,-55.6025,763.83,106560.3
913.0,58.5433,100.1292,763.83,106560.3
914.0,-8.4631,-55.6019,763.49,106536.6
915.0,28.6675,11.6567,762.91,106496.1
916.0,64.23,107.9672,762.62,106475.9
917.0,54.7492,-104.3392,762.0,106432.6
918.0,75.3692,-115.0825,762.0,106432.6
919.0,10.7617,-5.4183,757.57,106122.8
920.0,10.7617,-5.4183,756.82,106070.2
921.0,-22.7808,-56.2025,756.82,106070.2
922.0,66.9219,-116.1361,753.27,105821.2
923.0,66.9208,-116.1567,751.94,105727.7
924.0,14.98,6.2142,751.94,105727.7
925.0,-2.0733,24.7217,747.98,105448.9
926.0,-54.4078,3.3508,747.75,105432.7
927.0,3.8025,43.825,746.76,105362.9
928.0,52.5972,68.1097,744.47,105201.2
929.0,54.8894,166.3317,740.74,104937.3
930.0,13.1589,93.0056,737.72,104723.2
931.0,48.8042,-73.59,737.3,104693.4
932.0,28.5017,9.705,736.7,104650.8
933.0,48.8042,-73.5892,735.79,104586.1
934.0,13.1583,93.0058,732.13,104325.7
935.0,54.9442,166.34,730.91,104238.7
936.0,-8.5825,-48.6567,728.78,104086.7
937.0,-8.5828,-48.6567,728.39,104058.9
938.0,71.1358,-122.9533,723.9,103737.7
939.0,71.1361,-122.9542,723.26,103691.8
940.0,-2.14,146.94,718.11,103322.0
941.0,22.5644,-14.2817,715.66,103145.6
942.0,25.4272,141.2808,714.17,103038.1
943.0,-34.9742,138.7092,713.13,102963.1
944.0,26.685,-4.8594,712.15,102892.3
945.0,-2.1431,146.9406,707.55,102559.5
946.0,-50.8958,166.0217,705.0,102374.5
947.0,-51.6917,-58.8342,705.0,102374.5
