summitId,latitude,longitude,elevation,candidate
976754,-19.3494,47.2433,2639.33,True
980809,-80.5494,-96.6653,2632.61,True
-503282,28.51,33.955,2628.9,True
983231,28.5094,33.9556,2628.35,True
986531,-54.6631,-69.5925,2623.49,True
-504906,18.81,97.0375,2623.11,True
987897,18.8097,97.0375,2621.08,True
-505884,-12.4625,15.1742,2620.06,True
989507,-12.4628,15.1736,2618.28,True
-507071,81.915,-75.0092,2616.1,True
998617,49.1639,20.1339,2603.93,True
-512771,15.0692,107.975,2598.12,True
1005191,15.0692,107.9753,2593.8,True
-514643,-18.3,32.8417,2592.02,True
-514945,40.2458,-5.2975,2591.1,True
1009997,43.1739,-4.8572,2586.76,True
1011669,81.915,-75.0097,2584.03,True
1012903,-18.3006,32.8419,2581.99,True
-518366,-54.6592,-69.5967,2580.13,True
-520640,-21.1492,14.5775,2573.12,True
-521576,27.8817,108.6817,2570.07,True
1023309,27.8817,108.6814,2566.56,True
1025003,-21.1497,14.5775,2564.32,True
-524226,61.8933,171.1858,2562.15,True
1044092,40.2483,-5.2997,2536.89,True
-537141,7.0008,80.7742,2524.05,True
-537142,7.0,80.7742,2524.05,True
1053918,7.0008,80.7736,2523.12,True
-537874,67.4125,-154.9658,2522.52,True
-543183,56.2192,-159.2975,2506.98,True
-544490,-31.7592,24.54,2503.02,True
1083900,-81.9417,-89.8042,2483.52,True
1085146,-7.5039,29.9867,2481.97,True
-552802,-7.5042,29.9867,2480.0,True
-553413,-22.65,17.1792,2478.94,True
1088774,-22.6497,17.1831,2477.84,True
1091830,67.4128,-154.965,2473.85,True
-556761,61.6367,8.3125,2468.88,True
1102272,76.4694,-25.6433,2460.85,True
-559984,10.735,47.245,2460.04,True
1103618,61.6361,8.3128,2459.01,True
-561472,35.2275,24.7708,2456.08,True
1109116,35.2264,24.7708,2452.65,True
1109619,-31.7586,24.5397,2452.0,True
1114626,10.7364,47.2442,2445.49,True
-565774,76.4692,-25.6408,2444.0,True
1128611,61.8886,171.17,2429.29,True
-579029,67.5817,128.14,2409.14,True
1172299,61.9219,-133.3678,2380.2,True
-590950,55.8967,130.4533,2379.88,True
-591123,-67.01,-65.9183,2379.88,True
1173752,23.9767,39.2825,2378.66,True
1180725,67.5822,128.1439,2370.86,True
1180808,55.8975,130.4539,2370.77,True
-594808,53.6067,134.575,2370.12,True
-598865,-11.7575,43.3658,2360.98,True
1194412,53.6075,134.5764,2356.52,True
1194485,-11.7589,43.3669,2356.42,True
1198987,-5.0508,151.3311,2351.54,True
-603040,38.4683,-28.3992,2350.92,True
-604694,64.4708,-138.555,2346.96,True
1204848,40.9761,110.6189,2345.63,True
-608795,40.9758,110.6192,2337.0,True
-609661,-9.7033,160.0617,2335.07,True
1215249,38.4689,-28.3992,2334.84,True
-610300,-5.0508,151.3317,2333.85,True
-611418,-25.2092,30.15,2331.11,True
1222121,-74.1519,-66.4733,2328.22,True
-612777,35.3183,6.6367,2328.06,True
1222304,-25.2094,30.1497,2328.02,True
1223878,-9.7036,160.0622,2326.27,True
-614101,-33.3983,21.3675,2325.01,True
1227419,35.3183,6.6369,2322.6,True
1236976,-33.3981,21.3681,2313.19,True
1239262,-0.6597,112.6886,2310.88,True
-622202,36.4475,4.2283,2307.95,True
-627605,-66.7867,54.165,2300.02,True
-627598,-0.6592,112.6883,2300.02,True
-627595,-61.285,-54.1458,2300.02,True
1250857,71.4011,-51.8358,2299.6,True
1251263,36.4478,4.2281,2299.22,True
-632432,43.6633,142.8542,2290.88,True
1263195,43.6636,142.8542,2287.95,True
-638847,71.08,-8.1792,2276.86,True
1291070,71.0819,-8.1767,2262.19,True
1299555,50.5742,134.5939,2254.72,True
-651571,1.82,115.2725,2250.03,True
1309860,1.8197,115.2725,2245.61,True
-656500,-17.6233,-149.4767,2240.89,True
1319824,32.9117,-0.4675,2236.39,True
-662695,-36.4558,148.2633,2228.09,True
1330967,-36.4561,148.2636,2226.46,True
1342026,66.7706,-65.1583,2216.91,True
1352606,-70.1944,64.8,2208.16,True
-676430,-27.1808,18.7292,2201.88,True
1366860,-27.18,18.7286,2196.24,True
-682649,66.0383,-52.255,2191.82,True
-683483,4.6325,102.235,2189.99,True
1383762,4.6328,102.2344,2182.17,True
1386965,64.2175,133.5594,2179.41,True
1390215,-71.0136,65.1467,2176.7,True
1392481,66.0394,-52.2544,2175.01,True
1396917,-67.3731,164.7556,2171.67,True
-693945,27.8608,117.7842,2169.87,True
-700989,64.1592,133.6225,2157.98,True
1415715,27.8603,117.7833,2156.67,True
-705034,-82.6233,-52.8125,2150.06,True
-705602,53.1258,-168.6942,2149.14,True
1430893,14.6731,48.7808,2144.98,True
1433901,-19.6153,17.6203,2142.59,True
-709435,25.8658,110.4133,2142.13,True
-710739,26.3133,114.0367,2140.0,True
-714136,-24.4708,27.5925,2134.82,True
-717754,-19.615,17.62,2128.72,True
1461953,25.8667,110.4128,2121.63,True
-722995,11.3258,49.7483,2119.88,True
1467129,16.1714,99.0367,2117.6,True
1468682,26.3133,114.04,2116.41,True
-728736,64.0142,-16.6775,2110.13,True
1481478,11.3264,49.7486,2107.06,True
-731643,67.9008,18.5167,2105.86,True
1502972,64.0139,-16.6783,2091.51,True
1507829,67.9008,18.5172,2088.27,True
1513626,-24.4706,27.5892,2084.12,True
1516426,79.9256,-92.3075,2082.1,True
1518891,53.1264,-168.6953,2080.47,True
-752870,13.4667,98.805,2072.03,True
-755036,-17.2008,13.0208,2068.98,True
1536886,-17.1997,13.0208,2068.13,True
-760868,-37.1117,-12.2892,2060.14,True
1550100,-25.2706,15.7547,2059.21,True
-765146,42.615,117.7958,2053.74,True
1562791,42.6156,117.7958,2050.75,True
-771619,-25.2708,15.755,2043.99,True
1578541,-37.1117,-12.2889,2040.09,True
1579293,-66.7003,54.84,2039.64,True
1582933,35.7649,-82.2651,2037.28,True
-776424,35.765,-82.265,2037.28,True
1584778,-83.3819,-51.3833,2035.98,True
-779227,-13.2967,-41.9075,2033.02,True
