Latitude,Longitude,Elevation,Key col latitude,Key col longitude,Prominence
-29.7183,-71.2358,167,-29.7275,-71.2367,722
-29.4158,24.9908,3467,-29.4108,24.99,502
-30.9083,-53.4475,308,-30.9067,-53.4492,341
-30.8275,-68.91,5285,-30.9,-68.8192,528
-30.4217,-69.74,17332,-30.4392,-69.7308,427
-30.9758,119.126,757,-30.9775,119.121,427
-30.3833,121.515,885,-30.3775,121.514,332
-30.4842,121.343,675,-30.4975,121.35,535
-30.5275,121.234,698,-30.53,121.231,479
-30.6108,121.576,590,-30.6017,121.578,597
-30.7842,121.504,482,-30.7867,121.506,689
-30.4917,138.426,118,-30.4733,138.418,515
-30.4983,138.417,288,-30.4808,138.384,335
-31.9775,-66.66,1128,-32.0175,-66.3783,505
-31.4683,119.497,980,-31.4733,119.497,417
-31.0008,121.594,898,-30.9967,121.595,319
-31.0325,121.606,662,-31.0383,121.61,489
-31.0808,121.432,948,-31.0817,121.427,321
-31.3267,121.77,672,-31.255,121.916,315
-31.7308,121.729,685,-31.7325,121.733,361
-32.745,137.139,160,-32.7475,137.133,427
-32.2375,150.942,298,-32.2392,150.936,364
-32.3883,151.111,3,-32.3983,151.094,384
-33.7858,-69.9008,18595,-33.7858,-69.9033,345
-33.1625,-70.2542,12595,-33.16,-70.2525,384
-33.43,116.312,160,-33.4392,116.321,594
-33.855,116.06,544,-33.8558,116.065,436
-33.7975,150.827,-104,-33.795,150.826,340
-34.0917,-70.3492,9097,-34.0933,-70.3525,315
-34.555,-70,13412,-34.5508,-70.0033,413
-34.5983,-70.0108,12959,-34.6,-70.0142,328
-35.575,-70.7442,10557,-35.5717,-70.7442,476
-35.6367,-70.7575,9658,-35.6342,-70.7583,391
-35.0625,149.57,2145,-35.0592,149.568,459
-36.5567,-69.8883,6033,-36.5517,-69.8833,374
-36.0225,-70.4258,8887,-36.0167,-70.4167,315
-37.54,-71.5108,3474,-37.5467,-71.51,325
-38.1242,-69.0033,715,-38.0667,-68.3442,863
-3.2025,35.5233,5669,-3.1017,35.5208,1263
-3.6208,35.2642,3343,-5.7092,33.1008,544
-3.2025,36.1858,2480,-2.7742,36.0267,676
-3.525,36.6033,3339,-3.53,36.6067,607
-3.0917,121.701,2116,-3.0992,121.688,301
-3.0917,121.762,2683,-3.085,121.757,355
-3.105,121.752,2654,-3.105,121.749,351
-3.1267,121.799,1988,-3.1325,121.808,410
-3.1333,121.762,2165,-3.1383,121.773,459
-3.14,121.824,1515,-3.1242,121.834,768
-3.145,121.752,2575,-3.1417,121.752,374
-3.1508,121.943,1145,-3.15,121.953,354
-3.1517,121.792,1942,-3.1375,121.79,574
-3.1558,121.764,2135,-3.1467,121.774,342
-3.2,121.949,2729,-3.1925,121.953,479
-3.2058,121.966,2887,-3.1992,121.968,311
-3.225,121.929,2746,-3.2317,121.942,360
-3.235,121.448,1473,-3.175,121.391,410
-3.3558,121.588,4127,-3.355,121.578,446
-3.3575,121.438,3500,-3.3367,121.433,377
-3.3575,121.568,4183,-3.3583,121.562,357
-3.41,121.374,3070,-3.4175,121.371,509
-3.1542,122.047,114,-3.1608,122.043,312
-3.1708,122.022,354,-3.1758,122.027,400
-3.2175,122.4,593,-3.225,122.4,312
-3.2325,122.025,3005,-3.2333,122.03,354
-3.2858,122.032,3208,-3.2817,122.04,332
-3.0367,132.518,1108,-3.0392,132.515,332
-3.0608,132.531,866,-3.0658,132.531,318
-3.0867,132.597,1837,-3.0967,132.597,456
-3.0942,132.562,1128,-3.0958,132.562,374
-3.7217,132.875,915,-3.7158,132.873,335
-3.8442,132.974,3116,-3.8417,132.983,391
-3.9708,132.979,3211,-3.9858,132.945,368
-3.2583,133.822,1778,-3.24,133.825,341
-3.2692,133.843,1866,-3.2608,133.834,663
-3.2767,133.977,1417,-3.25,133.968,371
-3.3008,133.918,2624,-3.2992,133.916,305
-3.3025,133.849,2365,-3.2833,133.849,381
-3.32,133.928,1171,-3.3133,133.916,331
-3.3525,133.974,984,-3.3758,134.01,1089
-3.385,133.846,1043,-3.3608,133.836,508
-3.3975,133.999,2358,-3.4233,134.009,381
-3.4925,133.882,187,-3.5225,133.88,797
-3.5067,133.836,816,-3.5075,133.842,322
-3.5425,133.916,249,-3.5458,133.92,656
-3.5667,133.873,26,-3.6608,133.927,315
-3.855,133.038,2831,-3.8458,133.04,328
-3.8567,133.005,2519,-3.8292,133.007,420
-3.9192,133.048,3330,-3.9133,133.049,311
-3.9567,133.057,3087,-3.9575,133.067,341
-3.9958,133.042,2841,-4.0017,133.008,341
-3.2325,134.025,1627,-3.2358,134.018,367
-3.3108,134.029,889,-3.2725,134.018,528
-3.3383,134.065,1095,-3.3375,134.062,322
