latitude,longitude,elevation,prominence,name_local,name_en,wikipedia
53.6461,-58.5542,1194.12,848.2,,,
64.8558,-173.4339,1188.16,1066.69,,,
21.6483,86.3589,1186.32,846.41,,,
22.9936,81.6544,1182.89,661.9,,,
23.865,46.4414,1174.04,469.67,,,
47.3094,-70.8322,1169.28,795.42,Mont Raoul-Blanchard,,
-37.2931,142.6014,1163.92,894.13,Mount William,,
1.5283,-59.2394,1160.33,912.87,,,
-31.5039,138.5519,1158.64,1016.91,Saint Mary Peak,,en:Wilpena Pound
-59.0403,-26.5325,1153.01,1153.01,Mount Darnley,,en:Mount Darnley
75.8975,107.7075,1151.13,1119.55,,,
15.2606,-1.6644,1149.7,859.28,,,
