id,latitude,longitude,elevation,isolation
1483692,-12.0775,37.63,1412.75,201369.6
1510001,76.9192,16.1408,1399.95,224843.6
1517145,-33.3442,148.9825,1396.9,218270.9
1531241,24.7275,42.6742,1389.89,204047.2
1562510,-58.4408,-26.3292,1374.95,719481.3
1562511,-18.7717,21.7533,1374.95,351917.9
1568915,-74.5358,-86.89,1371.9,230337.7
1579752,9.135,23.145,1366.72,366372.6
1579753,9.1367,23.1458,1366.72,366175.4
1581932,23.9633,86.1292,1366.11,334694.4
1610117,17.1458,22.4967,1353.92,357110.6
1619105,22.4492,78.3717,1349.96,489667.4
1632935,56.7967,-5.0033,1343.86,738610.6
1635317,-22.6325,44.1675,1342.95,200118.1
1647172,18.1725,-66.5917,1338.07,393590.2
1680088,-17.615,178.0183,1324.05,1037028.8
1690702,-18.12,-60.02,1320.09,367474.4
1714142,14.3442,21.6583,1310.94,248921.4
1742183,29.1017,-118.3133,1299.97,316003.6
1755625,-60.5808,-45.4783,1294.79,473351.4
1816129,-9.81,-139.0692,1275.89,1408103.8
1821788,41.9992,-74.3858,1274.06,219603.9
1833201,-21.015,148.6008,1270.1,494390.4
1839073,48.9875,-65.9483,1267.97,405901.9
1856552,-5.9233,132.895,1261.87,211252.6
1897455,-22.9808,118.5875,1249.07,1213236.3
1897465,-24.9517,148.1192,1248.77,438749.1
1924153,-16.8992,179.9892,1241.15,223648.4
1932125,-38.1583,-61.9517,1239.01,540666.0
1945774,-19.495,146.97,1235.05,239410.4
1949433,23.4892,83.6117,1233.83,261411.6
1963883,-46.9042,37.7083,1229.87,1804868.5
1963884,3.6825,-56.5358,1229.87,373018.1
1970985,64.4533,-159.415,1228.34,207679.2
2013269,1.6292,10.285,1216.76,258536.9
2081049,67.7258,33.4733,1200.91,509671.8
2081050,67.7267,33.4717,1200.91,509565.2
2091128,-8.16,-36.3925,1198.78,564585.3
2091129,20.5258,31.5283,1198.78,407051.1
2133490,28.1942,13.9767,1189.02,442654.1
2133500,64.855,-173.4367,1188.72,284797.2
2133501,63.9842,-65.8375,1188.72,213676.3
2146969,53.6467,-58.5525,1185.98,518981.3
2170331,21.6483,86.3592,1180.8,256616.3
2200597,47.31,-70.8308,1175.0,205989.4
2211661,22.9917,81.655,1172.87,206091.6
2222538,66.4233,153.6983,1170.74,229206.0
2222539,66.4225,153.6992,1170.74,229204.0
2240578,-31.5033,138.5508,1167.99,860574.3
2246638,-37.3417,142.5767,1167.08,276461.0
2246639,-37.2933,142.6008,1167.08,275285.2
2258204,-0.1958,104.55,1164.95,343732.4
2313773,15.2567,-1.6683,1154.89,1007987.6
2313774,-16.0633,-59.465,1154.89,203328.7
2313775,-16.0683,-59.4658,1154.89,202797.4
2319062,-4.7825,-40.1325,1153.97,405689.7
2360529,75.5633,111.0692,1146.05,779792.1
2366052,21.5275,70.5275,1145.13,350512.0
2366059,51.8,10.615,1144.83,223162.8
2392724,52.3217,-70.4458,1139.95,467053.6
2392725,21.985,-80.1325,1139.95,393908.4
2403645,1.5283,-59.2392,1137.82,252441.7
