latitude,longitude,jut_m,jut_height_m,jut_angle_deg,jut_base_latitude,jut_base_longitude,dominance_m,dominance_base_latitude,dominance_base_longitude,elevation_m,prominence_m,key_col_latitude,key_col_longitude
41.2208,47.8578,1070.282778,1821.423841,35.98743054,41.23722451,47.83788496,4090.048653,40.70443371,47.38729002,4467,2453.42,42.0086,46.0842
57.3944,-131.485,1069.199439,1842.856979,35.46361143,57.40420468,-131.5239667,2828.747041,57.34761081,-131.7535761,2916.75,2092.74,57.5819,-130.4425
19.0303,-97.2703,1066.232241,2678.134712,23.4610121,19.02224686,-97.21218565,5166.82057,18.58566563,-96.87477843,5591.6,5591.6,0,0
43.7413,-110.8024,1065.928947,1825.440649,35.72741169,43.76327362,-110.7994623,2385.931527,43.93952307,-111.3330616,4199.84,1994.61,44.1231,-110.7832
-85.7089,-128.5778,1062.016009,1807.145147,35.99226992,-85.69122171,-128.7597608,2927.642617,-85.37187063,-133.2597814,3885.18,1456.33,-85.9422,-121.2128
-83.8931,168.4028,1060.637861,3545.116675,17.4085256,-83.835482,169.1826729,4227.982572,-83.65168669,172.0285357,4465.82,1727.29,-83.9978,167.5247
29.9022,90.0255,1058.476275,1842.715666,35.0583994,29.88260915,90.04073701,3028.016313,29.35439976,90.15365524,7015.7,1331.79,30.3514,90.4328
35.3606,138.7272,1058.072297,2245.108387,28.11734727,35.35793064,138.6812757,3730.616504,35.16389453,138.7119981,3768.41,3768.41,0,0
-33.7625,-80.8128,1057.901312,1147.36148,67.22463112,-33.76473553,-80.81694357,1321.691089,-33.76931694,-80.82637588,1369.3,1369.3,0,0
8.5494,-70.9964,1057.774519,2422.734328,25.88737714,8.5235463,-70.95937063,4589.131463,8.910347391,-71.3478805,4877.42,3854,7.6867,-72.4167
50.87,-115.6511,1056.635879,1709.682599,38.17244857,50.86014402,-115.6794703,2693.84245,50.66610792,-116.1063497,3556.13,2024.44,51.8,-116.7567
60.4853,-152.7428,1053.129321,2711.005194,22.8589908,60.54300811,-152.7453179,3066.313652,60.47132255,-152.3319132,3107.19,2831.93,60.7803,-152.8125
31.4511,100.225,1052.74338,2409.373045,25.90858992,31.41441637,100.2543123,2734.189714,31.1937003,100.2968924,5909.37,1933.58,31.6075,100.1833
-44.7603,-72.4239,1046.253728,1509.048303,43.89351252,-44.76173158,-72.44347731,2078.237407,-44.75499421,-72.59547225,2106.95,1779.54,-44.8483,-72.2158
-21.0989,55.48,1045.569816,2169.031929,28.81901398,-21.06668966,55.49638209,3009.192523,-21.27366151,55.38912324,3045.5,3045.5,0,0
38.4689,-28.3992,1045.507662,2176.873219,28.70366061,38.43367234,-28.40671461,2332.98922,38.42747396,-28.40940955,2334.84,2334.84,0,0
-84.8519,-174.3153,1043.950019,2292.416453,27.09021253,-84.83503741,-173.9089971,3869.148626,-84.52134572,-175.5216527,4037.15,956.14,-84.955,-173.0744
30.3039,93.6494,1043.660041,1771.528008,36.09528447,30.32431077,93.6398372,3783.067529,29.82385933,95.24818088,6769.9,1849.44,30.7386,92.895
58.7292,-133.8394,1043.029621,1747.736845,36.64025064,58.75013699,-133.8372069,2458.969349,58.62643898,-133.6245757,2470.72,1587.09,59.6917,-135.0742
51.3756,-125.2667,1039.541779,1707.681092,37.49879035,51.37372434,-125.2347716,3850.136797,51.20367326,-125.611525,3940.63,3226.2,60.8025,-136.4678
42.6758,0.0344,1037.97601,1933.159801,32.47505291,42.68117649,0.07077821441,2811.792167,43.11972055,0.2571002965,3317.32,945.97,42.7339,0.1739
25.74,95.037,1037.657047,2046.771661,30.46238234,25.70983135,95.02675766,3611.328556,25.53519886,95.13186055,3833.69,2883.6,27.2892,96.2917
49.8075,86.59,1037.25956,1442.24249,45.98839958,49.81800846,86.57891089,3530.722359,50.15272074,86.55465638,4449.31,3285.53,42.985,99.6633
33.6647,104.1103,1037.135373,1794.361437,35.30977922,33.672242,104.1361123,3255.586619,33.59193262,104.575658,4555.87,955,33.6844,104.0539
38.6469,22.2519,1031.529353,1656.618723,38.51148895,38.64253064,22.22889251,2444.121557,38.44957252,22.39921308,2504.68,1707.77,39.2814,21.7789
27.2133,103.0778,1031.268415,2379.689632,25.68114736,27.23644181,103.1206567,3448.220053,27.37550102,102.9764771,4035.23,1980.97,25.6442,103.2436
48.5142,-113.6104,1023.514618,1870.88821,33.16651956,48.53136495,-113.6392281,2077.73419,48.59227073,-113.892553,3091.28,1341.42,48.4862,-113.5544
43.1186,77.34,1021.575484,2156.754902,28.27234842,43.14201224,77.30226696,4224.782563,43.47834148,77.27262255,4963.76,2969.44,42.7572,79.0236
10.5428,-66.7825,1019.020867,2483.451914,24.22521348,10.59272572,-66.78112658,2745.150168,10.61159035,-66.79028939,2749.86,2444.19,10.0958,-68.9756
-75.345,-110.7367,1018.552289,1605.433359,39.37851574,-75.33131086,-110.6920353,2597.963593,-75.19144317,-110.5677983,2635.71,1868.26,-75.6269,-110.6161
50.5936,-118.1017,1008.397798,1596.916451,39.1583345,50.57871531,-118.0872362,2465.452415,50.5795238,-117.9538364,2918.77,2357.93,50.9681,-118.36
23.47,120.9572,1008.152358,2647.562911,22.38231852,23.51849452,120.9226605,3740.585297,23.49639596,120.5062914,3936.62,3936.62,26,121
-49.0194,-73.505,1006.979092,3421.81407,17.11450204,-49.01220018,-73.65647244,3443.518879,-49.28681516,-73.90359897,3587.48,3310.77,-49.2847,-71.9092
